student_id,WeightedDiffLabel
67c26f8829d462ae823bb2c2,1
67c6544e496c87641bc32d1e,1
67c6621d2d2c5367115b87c6,1
67c66f62f0dce1020cccb8ba,1
67c77fa5037bc8de9f890800,0
67c786dcbe53b42f18bcc366,0
67ca2115c434fe4ee537e752,0
67d09d8c1594c6eaac88c03f,0
67d0a6e383e9a21f7033690d,0
6808335d332567ffa52165f8,1
680acc8a59c825dbf7c31deb,0
681144c8bb134e569280d496,1
67c274b229d462ae823bbe4a,0
67c27615e71bf89783d80e7f,1
67c6548c5af132787b58d55f,1
67c663a6bc1477587c80b337,0
67c76fb48cb8fc5788662cc0,0
67c772cbff18ef1bd5d4bfe8,0
67c77336be53b42f18bca71d,1
67c77493037bc8de9f88f767,0
67ca21688a63c0deed06b985,1
67d09d7b0b0cf28d84337e01,0
67d0a9650b0cf28d84339183,1
67c281f51cbbf464aae34ba0,0
67c6543b11c3384f9c86d93f,1
67c77d9fff18ef1bd5d4d31a,0
67c780778cb8fc5788664976,0
67d09b720d26105ead9f56f4,0
67d0a2460d26105ead9f6131,0
68082509332567ffa52153ab,1
68097c08ee2519584c38974c,1
67c26b6a6aed7a8612189b14,0
67c27401f112be75fec84544,1
67c28656c6360e2457d02f60,0
67c660bb89c7d2ddeb14ebf0,1
67ca1c5c8a63c0deed06b10a,0
67d0a48d0b0cf28d843388f3,1
681bc78d7f0a181a7e96a598,1
67c65ae75af132787b58df9a,1
67c65b5db393e8e43f8a87bc,0
67c65d88bc1477587c80aaa7,1
67c77911ff18ef1bd5d4ca8a,1
67c77c008cb8fc57886640fb,0
67ca1d318ec0960305367c3c,1
68082c50332567ffa5215d6c,1
67c2836837717e8573ee0670,1
67c777d88cb8fc5788663844,0
67c77b7fbe53b42f18bcb28c,0
67ca18db8ec09603053673b2,1
67ca26bd064ebf7b72168d86,0